noise_parameter,fidelity,purity
0.000000000000000000e+00,9.999999999999997780e-01,1.000000000000000000e+00
2.000000000000000042e-02,9.801999999999999602e-01,9.611841600000001762e-01
4.000000000000000083e-02,9.607999999999997653e-01,9.246745599999999232e-01
5.999999999999999778e-02,9.417999999999997485e-01,8.903809599999998881e-01
8.000000000000000167e-02,9.231999999999997986e-01,8.582169600000000287e-01
1.000000000000000056e-01,9.049999999999996936e-01,8.280999999999998362e-01
1.199999999999999956e-01,8.871999999999996556e-01,7.999513599999997782e-01
1.400000000000000133e-01,8.697999999999997955e-01,7.736961600000000772e-01
1.600000000000000033e-01,8.527999999999997804e-01,7.492633600000000449e-01
1.799999999999999933e-01,8.361999999999999433e-01,7.265857600000001915e-01
2.000000000000000111e-01,8.199999999999999512e-01,7.056000000000003380e-01
2.200000000000000011e-01,8.041999999999998039e-01,6.862465600000000610e-01
2.399999999999999911e-01,7.887999999999999456e-01,6.684697600000002460e-01
2.600000000000000089e-01,7.737999999999998213e-01,6.522177599999999797e-01
2.800000000000000266e-01,7.591999999999997639e-01,6.374425599999999914e-01
2.999999999999999889e-01,7.449999999999998845e-01,6.241000000000002101e-01
3.200000000000000067e-01,7.311999999999998501e-01,6.121497600000000983e-01
3.400000000000000244e-01,7.177999999999998826e-01,6.015553600000000944e-01
3.599999999999999867e-01,7.047999999999998710e-01,5.922841600000000595e-01
3.800000000000000044e-01,6.921999999999999265e-01,5.843073600000001644e-01
4.000000000000000222e-01,6.799999999999999378e-01,5.776000000000002244e-01
4.199999999999999845e-01,6.681999999999999051e-01,5.721409599999999207e-01
4.400000000000000022e-01,6.567999999999999394e-01,5.679129600000000222e-01
4.600000000000000200e-01,6.457999999999999297e-01,5.649025600000000535e-01
4.799999999999999822e-01,6.351999999999999869e-01,5.631001600000000717e-01
5.000000000000000000e-01,6.250000000000000000e-01,5.625000000000001110e-01
5.200000000000000178e-01,6.151999999999998581e-01,5.631001599999999607e-01
5.400000000000000355e-01,6.057999999999998941e-01,5.649025600000001646e-01
5.600000000000000533e-01,5.967999999999998861e-01,5.679129600000000222e-01
5.799999999999999600e-01,5.881999999999998341e-01,5.721409599999999207e-01
5.999999999999999778e-01,5.799999999999998490e-01,5.775999999999998913e-01
6.199999999999999956e-01,5.721999999999999309e-01,5.843073600000000534e-01
6.400000000000000133e-01,5.647999999999998577e-01,5.922841600000000595e-01
6.600000000000000311e-01,5.577999999999999625e-01,6.015553600000003165e-01
6.800000000000000488e-01,5.511999999999999122e-01,6.121497599999998762e-01
7.000000000000000666e-01,5.449999999999998179e-01,6.240999999999998771e-01
7.199999999999999734e-01,5.391999999999999016e-01,6.374425600000003245e-01
7.399999999999999911e-01,5.337999999999999412e-01,6.522177600000002018e-01
7.600000000000000089e-01,5.287999999999999368e-01,6.684697600000001350e-01
7.800000000000000266e-01,5.241999999999998883e-01,6.862465599999998389e-01
8.000000000000000444e-01,5.199999999999999067e-01,7.056000000000000050e-01
8.200000000000000622e-01,5.161999999999998812e-01,7.265857600000001915e-01
8.399999999999999689e-01,5.127999999999998115e-01,7.492633599999998228e-01
8.599999999999999867e-01,5.097999999999998089e-01,7.736961599999999661e-01
8.800000000000000044e-01,5.071999999999998732e-01,7.999513600000001112e-01
9.000000000000000222e-01,5.049999999999997824e-01,8.280999999999997252e-01
9.200000000000000400e-01,5.031999999999998696e-01,8.582169599999999177e-01
9.400000000000000577e-01,5.017999999999998018e-01,8.903809599999998881e-01
9.599999999999999645e-01,5.007999999999999119e-01,9.246745600000001453e-01
9.799999999999999822e-01,5.001999999999999780e-01,9.611841600000000652e-01
1.000000000000000000e+00,4.999999999999998890e-01,1.000000000000000000e+00
